u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
954712407,2511789008,Βασιλίσσης Σοφίας,primary_link,yes,28.153,3,,ΕΟ54,,"['30', None]",,,,,0,0.0002013849085247781
954712407,250691827,,primary_link,yes,45.040000000000006,1,,,,,,yes,,,1,0.007714591111179961
954712407,6220792258,Βασιλίσσης Σοφίας,primary,no,134.992,4,,ΕΟ54,,,,,,,2,0.0
95663376,95663377,Μενάνδρου,tertiary,yes,63.569,2,,,,,,,,,3,2.581857801599719e-05
95663376,95663493,Βερανζέρου,residential,yes,65.775,,,,,,,,,,4,2.581857801599719e-05
95663377,11256819883,Μενάνδρου,tertiary,yes,51.945,2,,,,,,,,,5,0.0
95663377,95663386,Σατωβριάνδου,residential,yes,112.761,,,,,,,,,,6,5.163715603199438e-06
11256819883,11256819882,Μενάνδρου,residential,,45.349,,,,,,,,,,7,0.0
11256819883,250720872,Μενάνδρου,tertiary,yes,45.893,2,,,,,,,,,8,0.0
250720872,95663389,"['Αγίου Κωνσταντίνου', 'Κουμουνδούρου']","['primary', 'residential']",yes,160.165,"['2', '1']",,"['ΕΟ8', None]",,"[None, '50']",,,,,9,0.004719636061324286
95663375,95663504,Βίκτωρος Ουγκώ,residential,yes,13.378,,,,,,,,,,10,3.614600922239607e-05
95663375,844627879,Μάρνη,secondary,,33.797,4,,,,,,,,,11,0.006563082531666486
95663375,6693568141,Μάρνη,secondary,,26.791,4,,,,,,,,,12,0.0007693936248767163
95663504,95663374,Βίκτωρος Ουγκώ,residential,yes,129.237,,,,,,,,,,13,3.098229361919663e-05
95663504,6693568141,Μάγερ,tertiary,yes,20.03,1,,,,,,,,,14,0.0
95663374,633562900,Βίκτωρος Ουγκώ,residential,yes,30.505,,,,,,,,,,15,0.0
95663374,95663419,Ακομινάτου,residential,yes,60.458,,,,,30,,,,,16,1.032743120639888e-05
633562900,633562902,Πουκεβίλ,residential,,60.658,,,,,,,,,,17,0.0
31179468,6693568141,Μάρνη,secondary,,60.818,4,,,,,,,,,18,1.032743120639888e-05
31179468,95663389,Σατωβριάνδου,residential,yes,83.071,,,,,,,,,,19,0.0
31179468,5630842135,Καρόλου,secondary,no,85.535,4,,,,,,,,,20,0.0
95663389,95663377,Σατωβριάνδου,residential,yes,65.279,,,,,,,,,,21,5.163715603199438e-06
95663389,95663493,Κουμουνδούρου,residential,yes,64.34,1,,,,,,,,,22,7.229201844479214e-05
95663386,95663423,Σατωβριάνδου,residential,yes,105.635,,,,,,,,,,23,0.0006093184411775337
95663386,11256819886,Σωκράτους,tertiary,yes,48.389,2,,,,,,,,,24,1.032743120639888e-05
95663423,95663422,3ης Σεπτεμβρίου,primary,yes,62.256,3,,,,,,,,,25,0.009883351664523725
31179466,962356923,Καματερού,primary,yes,6.376,2,,,,,,,,,26,0.002731605554092503
31179466,97834761,Μάρνη,secondary,yes,25.352,2,,,,,,,,,27,0.0008468493589247079
962356923,962356785,Μάρνη,primary,yes,7.615,2,,,,,,,,,28,0.007198219550860017
962356923,962356608,Καματερού,primary,yes,74.82300000000001,2,,,,,,,,,29,0.00357845491301721
97788213,95663402,Αβέρωφ,tertiary,yes,86.59600000000002,2,,,,,,,,,30,6.71283028415927e-05
97788213,97788195,Πατησίων,primary,yes,125.356,2,,ΕΟ1,,,,,,,31,0.01526910703866074
