Edge,Frequency,Ratio
419,2489,0.012852488
76,2570,0.013270749
271,2812,0.014520368
388,2820,0.014561678
311,2915,0.015052231
31,2957,0.015269107
267,2795,0.014432585
56,2859,0.014763063
35,2851,0.014721753
152,1968,0.010162192
250,1891,0.009764586
242,1487,0.007678445
356,1603,0.008277436
362,1503,0.007761065
193,1414,0.007301494
185,1432,0.007394441
230,2425,0.01252201
408,2457,0.012687249
177,1079,0.005571649
404,1079,0.005571649
195,775,0.00400188
141,508,0.002623168
192,145,0.000748739
231,2954,0.015253616
194,349,0.001802137
344,349,0.001802137
54,1672,0.008633732
358,1371,0.007079454
340,1637,0.008453002
32,1597,0.008246454
310,1458,0.007528697
387,1392,0.007187892
339,1389,0.007172401
272,599,0.003093066
223,275,0.001420022
103,269,0.001389039
226,265,0.001368385
228,249,0.001285765
334,791,0.004084499
95,767,0.00396057
275,733,0.003785004
216,729,0.003764349
90,718,0.003707548
53,126,0.000650628
249,91,0.000469898
252,1899,0.009805896
245,1731,0.008938392
37,1696,0.008757662
357,504,0.002602513
322,11,5.68009E-05
324,1502,0.007755901
341,1218,0.006289406
342,1173,0.006057038
71,1145,0.005912454
345,999,0.005158552
282,987,0.005096587
77,142,0.000733248
273,891,0.004600871
386,861,0.004445959
262,802,0.0041413
265,754,0.003893442
151,2113,0.010910931
85,2163,0.011169117
292,2203,0.011375665
293,2264,0.011690652
294,2462,0.012713068
296,2447,0.012635612
405,547,0.002824552
172,222,0.001146345
173,238,0.001228964
143,1799,0.009289524
167,1748,0.009026175
407,1734,0.008953883
157,1719,0.008876427
159,1674,0.00864406
170,1373,0.007089782
243,3308,0.017081571
211,1475,0.007616481
135,197,0.001017252
390,202,0.001043071
400,325,0.001678208
171,406,0.002096469
212,1808,0.009335998
25,1914,0.009883352
333,157,0.000810703
308,176,0.000908814
403,2418,0.012485864
78,837,0.00432203
270,116,0.000598991
138,159,0.000821031
323,478,0.002468256
319,204,0.001053398
314,177,0.000913978
49,176,0.000908814
313,175,0.00090365
300,164,0.000846849
27,164,0.000846849
65,162,0.000836522
326,162,0.000836522
60,160,0.000826194
128,157,0.000810703
126,156,0.00080554
12,149,0.000769394
