ori,des,path,len,time_step
316,90,316_317_324_340_32_310_387_339_273_386_262_265_334_95_275_216_90,17,10
154,308,154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_344_270_273_386_262_265_333_308,29,10
125,308,125_127_61_325_28_367_286_312_48_316_317_324_340_32_310_387_339_272_223_103_226_228_333_308,24,10
125,90,125_127_61_325_28_367_286_312_48_316_317_324_340_32_310_387_339_273_386_262_265_334_95_275_216_90,26,10
46,141,46_321_26_29_328_240_244_152_250_242_356_362_193_185_177_404_195_141,18,10
231,141,231_230_408_419_76_271_388_311_31_267_56_35_152_250_242_356_362_193_185_177_404_195_141,23,10
299,170,299_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,17,10
293,170,293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,16,10
253,170,253_261_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,17,10
293,160,293_294_296_203_190_397_350_237_305_348_143_167_407_157_158_160,16,10
293,238,293_294_296_203_190_397_350_237_305_348_142_144_146_148_150_307_238,17,10
230,195,230_408_419_76_271_388_311_31_267_56_35_152_250_242_356_362_193_185_177_404_195,21,10
31,141,31_267_56_35_152_250_242_356_362_193_185_177_404_195_141,15,10
31,141,31_267_56_35_152_250_242_356_362_193_185_177_404_195_141,15,10
330,9,330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,16,10
154,85,154_174_364_178_180_337_182_186_347_403_243_212_25_252_244_151_85,17,10
330,9,330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,16,10
338,84,338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_244_151_84,18,10
330,9,330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,16,10
154,77,154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_77,24,10
174,231,174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78_231,24,10
364,231,364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78_231,23,10
174,308,174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_340_32_310_387_339_273_386_262_265_333_308,28,10
180,231,180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78_231,21,10
180,50,180_337_182_186_347_403_243_212_25_252_245_36_373_284_286_312_50,17,10
347,90,347_403_243_212_25_252_245_37_54_358_341_342_71_344_270_273_386_262_265_334_95_275_216_90,24,10
231,77,231_230_408_419_76_271_388_311_31_267_56_35_152_250_243_212_25_252_245_37_54_358_341_342_71_345_282_77,28,10
56,170,56_35_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,21,10
35,307,35_151_85_292_293_294_296_203_190_397_350_237_305_348_142_144_146_148_150_307,20,10
35,170,35_151_85_292_293_294_296_203_190_397_350_237_305_348_143_167_407_157_159_170,20,10
