link_id,action,next_link_id
0,2,330
0,4,331
1,2,338
2,0,352
3,6,5
3,0,6
4,2,213
4,4,214
5,6,8
5,0,7
6,6,24
6,0,23
8,3,9
9,2,22
9,0,21
10,4,13
10,5,14
11,1,125
12,5,123
13,2,16
13,4,15
14,1,124
14,5,123
15,2,17
16,2,424
16,0,423
17,2,278
17,0,280
18,1,124
19,2,22
19,0,21
20,2,121
21,6,5
21,0,6
22,2,213
22,4,214
23,2,25
24,3,134
24,6,133
25,2,252
25,4,251
26,1,28
26,7,29
27,4,66
27,5,65
28,1,367
28,3,366
29,5,327
29,7,328
30,1,32
30,4,33
31,2,266
31,4,268
31,6,267
32,1,310
32,0,309
33,2,342
33,4,343
34,2,37
34,4,36
35,6,152
35,0,151
36,4,373
36,6,374
37,2,54
37,0,53
38,2,40
39,1,316
39,5,314
39,6,315
40,4,283
41,6,44
41,7,43
42,3,119
43,7,45
44,6,108
44,0,109
45,5,47
45,7,46
46,6,320
46,7,321
47,3,370
47,5,369
48,1,316
48,6,315
49,5,313
50,6,52
50,0,51
51,2,54
51,0,53
52,4,373
52,6,374
53,6,56
53,0,55
54,2,358
54,4,357
55,6,58
55,7,57
56,4,34
56,6,35
57,4,80
57,6,81
58,4,82
58,6,83
59,4,63
59,6,62
60,5,128
61,1,325
62,4,4
62,6,3
63,1,127
63,5,128
64,5,47
64,7,46
65,1,325
65,5,326
66,4,68
66,6,67
68,4,359
68,5,360
69,5,65
70,6,72
71,2,345
71,0,344
72,6,377
73,0,222
74,2,382
74,4,381
75,2,78
75,4,77
76,6,271
76,0,270
77,5,79
78,0,231
79,6,375
79,0,376
80,4,82
80,6,83
81,7,292
82,4,34
82,6,35
83,6,84
83,7,85
84,4,298
84,7,299
85,7,292
86,2,89
86,4,88
87,0,422
88,4,221
88,6,220
89,6,90
90,4,91
90,6,92
91,2,89
91,4,88
92,6,415
93,3,354
94,6,96
94,0,97
95,4,274
95,0,275
96,4,99
96,6,98
97,2,383
97,0,384
98,4,100
98,6,101
99,2,226
99,4,225
100,2,103
101,0,102
102,0,107
103,2,226
103,4,225
104,6,101
105,0,107
106,4,99
106,6,98
107,2,74
107,0,73
108,6,110
108,0,111
109,7,45
110,4,112
110,6,113
111,5,115
112,2,276
112,4,277
113,0,114
114,5,371
114,0,372
115,4,359
115,5,360
115,0,361
116,6,110
117,0,139
118,3,119
118,7,120
120,7,41
121,2,16
121,4,15
122,1,18
122,0,19
123,4,20
123,0,19
124,1,11
124,4,10
125,1,127
126,4,10
126,5,12
127,1,61
127,6,59
128,5,126
129,6,131
129,0,132
130,4,4
130,6,3
131,6,24
131,0,23
133,4,136
133,6,135
135,1,390
135,7,389
136,3,9
137,1,192
137,7,193
138,7,405
139,6,108
139,0,109
140,1,194
140,7,195
141,0,140
142,1,144
142,3,145
143,1,166
143,7,167
144,1,146
144,7,147
146,3,148
147,1,163
147,7,162
148,3,150
148,5,149
149,5,349
149,7,348
150,3,307
151,6,84
151,7,85
152,4,249
152,6,250
153,1,155
153,0,156
154,1,173
154,3,174
155,7,157
157,1,158
157,7,159
158,1,160
159,1,169
159,6,170
160,3,161
161,3,409
161,5,410
162,5,165
162,7,164
163,3,168
164,1,160
165,7,407
166,1,163
166,7,162
167,7,407
168,3,148
169,3,161
170,4,353
170,0,352
171,3,243
171,6,242
172,7,356
173,1,142
173,7,143
174,3,364
174,5,365
175,3,178
176,6,288
177,7,404
178,1,179
178,3,180
179,1,208
179,7,209
180,3,337
181,5,183
181,7,184
182,1,187
182,3,186
183,7,185
185,1,175
185,5,176
185,7,177
186,3,347
187,1,189
187,3,188
188,3,200
189,1,191
189,7,190
190,1,398
190,7,397
191,3,396
191,0,395
192,3,347
192,7,346
193,7,185
194,1,173
194,3,174
195,3,141
196,1,201
197,7,199
198,1,297
198,7,296
199,0,196
200,1,201
201,1,198
201,4,197
202,3,200
203,1,191
203,7,190
204,3,207
204,5,206
205,1,258
205,3,257
206,5,202
206,7,203
207,1,255
207,3,254
208,1,236
208,7,237
210,1,208
